tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio,calidad_datos
Amazon,CALIFORNIA,79.0,0.08,10.0,946 ML,Tinto,No especificado,No especificado,No especificado,https://www.amazon.com.mx/VINO-TINTO-CALIFORNIA-946-ML/dp/B0CS7LZXVM/ref=sr_1_35?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-35,2025-10-04 02:36:43,True,946.0,0.0835,Económico,parcial
Amazon,CALIFORNIA,79.0,0.08,10.0,946 ML,Rosado,No especificado,No especificado,No especificado,https://www.amazon.com.mx/VINO-ROSADO-CALIFORNIA-946-ML/dp/B0CS7FX32C/ref=sr_1_50?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-50,2025-10-04 02:36:55,True,946.0,0.0835,Económico,parcial
Amazon,Riunite Lambrusco,109.0,0.15,31.0,750 ML,No especificado,No especificado,Europa,No especificado,https://www.amazon.com.mx/VINO-TINTO-RIUNITE-LAMBRUSCO-750/dp/B0912TN6F6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-8,2025-10-04 02:36:20,True,750.0,0.1453,Económico,parcial
Amazon,Santa Rita Tres Medallas,117.0,0.16,10.0,750 ML,Tinto,No especificado,"Valle Central, Chile",Merlot,https://www.amazon.com.mx/Tinto-Santa-Rita-Medallas-Merlot/dp/B09BHFRH23/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-18,2025-10-04 02:36:30,True,750.0,0.156,Económico,parcial
Amazon,Santa Rita Tres Medallas Carmenere,117.0,0.16,10.0,750 ML,Tinto,No especificado,"Valle Central, Chile.",No especificado,https://www.amazon.com.mx/Tinto-Santa-Rita-Medallas-Carmenere/dp/B08V21WY7T/ref=sr_1_27?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-27,2025-10-04 02:36:36,True,750.0,0.156,Económico,parcial
Amazon,Santa Rita Tres Medallas,117.0,117.0,10.0,750 ML,Tinto,No especificado,América del Sur,Cabernet Sauvignon,https://www.amazon.com.mx/Santa-Rita-Medallas-Cabernet-Sauvignon/dp/B09B8M5Z6X/ref=sr_1_45?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-45,2025-10-04 02:36:51,True,750.0,0.156,Económico,parcial
Amazon,Riunite Lambrusco Rosé,122.85,0.16,23.0,750 ML,No especificado,No especificado,"Emilia Romagna, Italia",No especificado,https://www.amazon.com.mx/Vino-Rosado-Riunite-Lambrusco-Ros%C3%A9/dp/B072534JYY/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-11,2025-10-04 02:36:23,True,750.0,0.1638,Económico,parcial
Amazon,CUATRO SOLES AFRUTADO SEMIDULCE,123.0,123.0,10.0,750 ML,Tinto,No especificado,No especificado,No especificado,https://www.amazon.com.mx/TINTO-AFRUTADO-SEMIDULCE-CUATRO-SOLES/dp/B0883CTW1L/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-16,2025-10-04 02:36:27,True,750.0,0.164,Económico,parcial
Amazon,Cuatro Soles,125.0,0.17,19.0,750 ML,Tinto,No especificado,No especificado,Merlot,https://www.amazon.com.mx/Vino-Tinto-Cuatro-Soles-Merlot/dp/B07G2WRBX8/ref=sr_1_41?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-41,2025-10-04 02:36:49,True,750.0,0.1667,Económico,parcial
Amazon,CUATRO SOLES,129.0,0.17,17.0,750 ML,Tinto,No especificado,AMERIICA CENTRAL,Cabernet Sauvignon,https://www.amazon.com.mx/TINTO-CUATRO-SOLES-CABERNET-SAUVIGNON/dp/B0872KXHCK/ref=sr_1_15?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zHZcUX9s0yEH63SpR4ImvJDINfamhpCKXa7eGlRQS-ZpPMQ3xaRw2UR7i2xa5CcickdO6fGP561-R1nKSxEBLp1uasryHdK0Ezy_Ow4hSIvU13l6EJaU4ue_MQQ54ruR88OHz-0t_YjJJ33-rwm4m_tERLJ9T3OTUTZWoixpsFCAV68Ct1HnxIFqUVrcKAVaoiFdGPeo1SEaTYizkKLWOxgWb6TnWMGkt8K2JqsdXoHrLBBMvBV8ggRNUQhQKgAMtZDdHhdzLKHWQ4UuxocCSW0.ssIKXuy51vzX-SbZ_pfG-pgL5Zsf9FBVqOogHiFZscw&dib_tag=se&keywords=vino&qid=1759566966&sr=8-15,2025-10-04 02:36:25,True,750.0,0.172,Económico,parcial
