tienda,nombre,precio_actual,precio_anterior,descuento_porcentaje,tamaño_botella,tipo_vino,pais_origen,region_origen,uva_varietal,url_producto,fecha_scraping,tiene_descuento,ml_botella,precio_por_ml,segmento_precio
Amazon,Santa Rita Tres Medallas,73.0,0.1,39.0,750 ML,Tinto,,"Valle Central, Chile",Merlot,https://www.amazon.com.mx/Tinto-Santa-Rita-Medallas-Merlot/dp/B09BHFRH23/ref=sr_1_12?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-12,2025-10-31 20:41:24,True,750.0,0.0973,Económico
Amazon,Santa Rita Tres Medallas,73.0,73.0,39.0,750 ML,Tinto,,América del Sur,Cabernet Sauvignon,https://www.amazon.com.mx/Santa-Rita-Medallas-Cabernet-Sauvignon/dp/B09B8M5Z6X/ref=sr_1_25?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-25,2025-10-31 20:41:45,True,750.0,0.0973,Económico
Amazon,Gato Negro,77.0,0.1,,750 ML,Blanco,,,Chardonnay,https://www.amazon.com.mx/Vino-Blanco-Chardonnay-Gato-Negro/dp/B07G75Q9TL/ref=sr_1_33?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-33,2025-10-31 20:42:00,False,750.0,0.1027,Económico
Amazon,CUATRO SOLES AFRUTADO SEMIDULCE,83.0,83.0,34.0,750 ML,Tinto,,,,https://www.amazon.com.mx/TINTO-AFRUTADO-SEMIDULCE-CUATRO-SOLES/dp/B0883CTW1L/ref=sr_1_7?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-7,2025-10-31 20:41:14,True,750.0,0.1107,Económico
Amazon,Knock Knock Red Blend,89.25,0.12,25.0,750 ML,,,España,,https://www.amazon.com.mx/Knock-Red-Blend-750/dp/B0DGRM87RT/ref=sr_1_13?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-13,2025-10-31 20:41:23,True,750.0,0.119,Económico
Amazon,CUATRO SOLES,96.0,0.13,38.0,750 ML,Tinto,,AMERIICA CENTRAL,Cabernet Sauvignon,https://www.amazon.com.mx/TINTO-CUATRO-SOLES-CABERNET-SAUVIGNON/dp/B0872KXHCK/ref=sr_1_28?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-28,2025-10-31 20:41:50,True,750.0,0.128,Económico
Amazon,Cuatro Soles,96.0,0.13,38.0,750 ML,Tinto,,,Merlot,https://www.amazon.com.mx/Vino-Tinto-Cuatro-Soles-Merlot/dp/B07G2WRBX8/ref=sr_1_39?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-39,2025-10-31 20:42:13,True,750.0,0.128,Económico
Amazon,LAS MORAS,103.0,0.14,31.0,750 ML,Tinto,,,Malbec,https://www.amazon.com.mx/VINO-TINTO-LAS-MORAS-MALBEC/dp/B09122PFC3/ref=sr_1_5?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-5&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-31 20:41:11,True,750.0,0.1373,Económico
Amazon,Riunite Lambrusco Rosé,103.0,0.14,35.0,750 ML,,,"Emilia Romagna, Italia",,https://www.amazon.com.mx/Vino-Rosado-Riunite-Lambrusco-Ros%C3%A9/dp/B072534JYY/ref=sr_1_9?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-9,2025-10-31 20:41:18,True,750.0,0.1373,Económico
Amazon,LAS MORAS DULCE,103.0,0.14,42.0,750 ML,Rosado,,,,https://www.amazon.com.mx/LAS-MORAS-VARIETAL-ROSADO-750ML/dp/B0BL24XJ9K/ref=sr_1_11?dib=eyJ2IjoiMSJ9.Apl8ytG3-n6VJAlGxrw9zDMImM95_p_mctTqdXLcO7eznlKgSqjwU9m1Bns6g5ZCzNoU081OT0KITFf4PaP1iU9QkX7OIUgfL8WTXB7SLrXiMlw8oLAEYo73M0w5JjYsyFs5Nx39l0614mPHEsRxVbC3mvvC4FK4StJu-vVqrbtAiu8h_okQ4KWHK9OfPFRHVZpbwiMHsOCEM3qUZQcRkZzDTojdzyaU4Uy_Kt6TelSWXWfWXKKmqemE26YL6VwT4nohHbd3kPhY6_TmhEd0Yg3jsXa1AaYIW3XzARSR6QY.rCjAP3wCxHIKPa_vzPJxHsXR5HHgXQ1JK356fKT9TkU&dib_tag=se&keywords=vino&qid=1761964853&sr=8-11&ufe=app_do%3Aamzn1.fos.de93fa6a-174c-4df7-be7c-5bc8e9c5a71b,2025-10-31 20:41:22,True,750.0,0.1373,Económico
